sector_kx,sector_ky,kvec_x,kvec_y,eig_index,energy,sector_dimension,solver
1,8,1.2091995761561445,13.264502315156903,9,-13.639600627654414,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,0,-13.647232689626367,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,1,-13.646604903366457,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,2,-13.646381618959241,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,3,-13.645229545560401,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,4,-13.644697011859485,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,5,-13.644430312331572,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,6,-13.640877608105917,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,7,-13.640607425766751,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,8,-13.640237479012667,173583,sparse
2,0,2.4183991523122903,4.1887902047863905,9,-13.63982280946498,173583,sparse
2,1,2.41839915231229,5.585053606381854,0,-13.646436295647783,173583,sparse
2,1,2.41839915231229,5.585053606381854,1,-13.646094994089445,173583,sparse
2,1,2.41839915231229,5.585053606381854,2,-13.64578609050666,173583,sparse
2,1,2.41839915231229,5.585053606381854,3,-13.64512698227009,173583,sparse
2,1,2.41839915231229,5.585053606381854,4,-13.64493892134352,173583,sparse
2,1,2.41839915231229,5.585053606381854,5,-13.644066815156654,173583,sparse
2,1,2.41839915231229,5.585053606381854,6,-13.640571126358564,173583,sparse
2,1,2.41839915231229,5.585053606381854,7,-13.640140024309137,173583,sparse
2,1,2.41839915231229,5.585053606381854,8,-13.639841290230548,173583,sparse
2,1,2.41839915231229,5.585053606381854,9,-13.639600627654449,173583,sparse
2,2,2.4183991523122903,6.981317007977318,0,-13.646439112795669,173583,sparse
2,2,2.4183991523122903,6.981317007977318,1,-13.64609368293091,173583,sparse
2,2,2.4183991523122903,6.981317007977318,2,-13.645778464989549,173583,sparse
2,2,2.4183991523122903,6.981317007977318,3,-13.645127814463748,173583,sparse
2,2,2.4183991523122903,6.981317007977318,4,-13.644930824025934,173583,sparse
2,2,2.4183991523122903,6.981317007977318,5,-13.64408189748166,173583,sparse
2,2,2.4183991523122903,6.981317007977318,6,-13.64056604400065,173583,sparse
2,2,2.4183991523122903,6.981317007977318,7,-13.640147069454288,173583,sparse
2,2,2.4183991523122903,6.981317007977318,8,-13.639842344906887,173583,sparse
2,2,2.4183991523122903,6.981317007977318,9,-13.6396029297998,173583,sparse
2,3,2.4183991523122907,8.377580409572781,0,-13.64726170535537,173583,sparse
2,3,2.4183991523122907,8.377580409572781,1,-13.646629739367217,173583,sparse
2,3,2.4183991523122907,8.377580409572781,2,-13.646405540796497,173583,sparse
2,3,2.4183991523122907,8.377580409572781,3,-13.645245261957665,173583,sparse
2,3,2.4183991523122907,8.377580409572781,4,-13.6447075108643,173583,sparse
2,3,2.4183991523122907,8.377580409572781,5,-13.6444523279344,173583,sparse
2,3,2.4183991523122907,8.377580409572781,6,-13.64085337180314,173583,sparse
2,3,2.4183991523122907,8.377580409572781,7,-13.640611827164793,173583,sparse
2,3,2.4183991523122907,8.377580409572781,8,-13.640233961782181,173583,sparse
2,3,2.4183991523122907,8.377580409572781,9,-13.639814514502254,173583,sparse
2,4,2.4183991523122907,9.773843811168245,0,-13.648201895766856,173583,sparse
2,4,2.4183991523122907,9.773843811168245,1,-13.647573545330994,173583,sparse
2,4,2.4183991523122907,9.773843811168245,2,-13.647537390079295,173583,sparse
